ID,attention,condition,condition_dum,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,EGA_1_1,EGA_2_1,EGA_3_1,EGA_4_1,EGA_5_1,EGA_6_1,EGA_7_1,EGA_8_1,EGA_9_1,EGA_10_1,EGA_11_1,state,city,age,gender,gender_3_TEXT,race,race_16_TEXT,education,comments,PROLIFIC_PID
90,4,Mothers,0,14,12,13,1,2,3,4,5,8,17,18,10,15,6,11,16,9,7,7,1,1,1,1,1,1,4,7,1,1,Pennsylvania,Indiana,29,1,,1,,5,,612d8f1ffe1b603f22d3f1cb
91,4,Mothers,0,18,2,17,1,5,4,6,9,3,16,14,7,15,10,11,13,12,8,7,4,1,1,1,1,1,7,7,1,1,MA,Windsor,51,2,,16,Jewish American,5,,5f763e6e7632050c3712feac
92,4,Mothers,0,3,2,10,1,11,13,12,6,5,14,17,9,18,7,4,15,16,8,4,4,1,4,1,1,4,7,7,4,4,Oregon,Salem,55,2,,1,,6,,622a5d3bbefce4aad4fd640a
93,4,Mothers,0,11,17,14,1,3,4,7,2,5,16,15,8,10,6,18,12,13,9,7,1,2,2,1,2,6,6,7,4,4,wisconsin,green bay,24,1,,1,,5,,5fd4335c2d643f1a0ed65cb7
94,4,Mothers,0,17,16,9,1,8,6,7,2,3,18,14,5,13,10,15,12,11,4,7,1,1,1,1,1,2,7,7,1,1,California,Irvine,31,1,,1,,5,,5bc11bbbc11e1200018dfa3b
95,4,Mothers,0,13,10,15,1,7,6,8,5,12,16,18,11,17,2,9,14,4,3,7,1,1,1,1,2,2,6,7,3,2,Illinois,Naperville,32,1,,1,,6,i was raised by a stay-at-home dad while my mother worked full time. ,61522d0491dd847aa72155ed
96,4,Fathers,1,8,14,15,13,1,7,11,9,6,12,2,17,5,4,10,3,16,18,4,4,3,5,4,4,5,7,7,5,3,ga,marietta,36,2,,3,,5,,55fb0c5377f33b0005cb1f12
97,4,Mothers,0,11,14,8,4,7,6,5,2,1,18,13,3,17,9,15,16,12,10,6,4,3,4,2,4,7,7,7,5,5,Alabama,Montgomery,64,2,,3,,2,,612e1df9913c996adb2a42a6
98,4,Fathers,1,6,5,8,18,15,10,16,14,12,2,3,13,4,11,7,1,9,17,5,4,4,3,3,4,5,5,6,6,5,Virginia,South Riding,56,1,,1,,8,,5ccf068db0778600017d96d7
99,4,Mothers,0,13,15,18,1,6,5,7,8,3,16,12,2,17,9,11,14,10,4,2,6,2,6,2,4,4,4,7,4,4,texas,pearland,37,2,,2,,5,"Just a note regarding my responses, overall think it's best for one parent (regardless if man or woman) to be a full time caregiver for children",56997f9e25d9e9000cb09455
