id,study,study_dum,cond,targ.gend,targ.gend.dum,day,day.dum,warmth,competence,ideal,feminine,masculine,earner
43,3,1,4,father,1,saturday,1,7.6,6.75,4,2,8,2
53,3,1,4,father,1,saturday,1,8.3,7.333333333,5,2,7,7
62,3,1,4,father,1,saturday,1,5.7,5.333333333,2,3,7,5
67,3,1,4,father,1,saturday,1,8.6,6.916666667,6,9,3,2
73,3,1,4,father,1,saturday,1,8,7.083333333,6,3,7,6
80,3,1,4,father,1,saturday,1,7,6.916666667,5,1,8,5
88,3,1,4,father,1,saturday,1,8.5,7.5,6,2,8,7
101,3,1,4,father,1,saturday,1,6.8,6.416666667,6,5,7,7
105,3,1,4,father,1,saturday,1,7.1,4.833333333,4,1,3,5
113,3,1,4,father,1,saturday,1,8.5,7.333333333,7,2,5,8
119,3,1,4,father,1,saturday,1,8.1,6.916666667,7,5,4,9
129,3,1,4,father,1,saturday,1,7.6,6.333333333,2,7,4,4
135,3,1,4,father,1,saturday,1,6.9,6.166666667,4,6,4,5
143,3,1,4,father,1,saturday,1,8.2,7.166666667,6,5,7,7
151,3,1,4,father,1,saturday,1,7.4,6.083333333,5,4,8,5
156,3,1,4,father,1,saturday,1,8,5.083333333,5,5,5,2
